u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
37,-2.8851341268112964,0.2221267769221154,2.411539060424687,-0.0022069250616537192,-0.00028315854407686596,-0.16196542381715148,-0.2679345594591954,-1.489022590369974,-1.4235615872799248,-0.1300493990882782,-0.5129341928748986,-0.03460926816096709,1.8683101495392818,-0.0020705625977092378,0.175550983710878,-0.013900209957989526,-0.016869003589983597,0.0
38,-2.8841853166067897,0.22452706053086194,2.4276795063140595,-0.0022594424948325976,-0.0002859752487991769,-0.1617517532796163,-0.26752594119297957,-1.4888031829012418,-1.42077582944127,-0.13010721366839204,-0.5138959219408238,-0.03457347944948432,1.8651253584833665,-0.0020568980037850683,0.1745090568675455,-0.014007226854672442,-0.016862567448497,0.0
39,-2.8832382524345705,0.22691729429089896,2.4438004565170717,-0.0023119253871882565,-0.0002887839745720657,-0.16153828815468632,-0.2671180774115721,-1.488583795698073,-1.4179961120708797,-0.13016489626794997,-0.5148498744874259,-0.03453770672900357,1.8619478541029408,-0.0020432472968732805,0.17347233780365381,-0.014113794207878696,-0.016856134571652266,0.0
40,-2.8822929313001953,0.2292975122203108,2.4599019304870824,-0.00236437375782833,-0.0002915847398617497,-0.16132502825613698,-0.2667109668844071,-1.4883644287585895,-1.4152224284445403,-0.13022244706579636,-0.5157960893885637,-0.034501949993120035,1.8587776176473507,-0.002029610464820795,0.17244080139325912,-0.014219913519357176,-0.01684970495759605,0.0
41,-2.881349350214229,0.2316677482290656,2.4759839476589542,-0.0024167876258522,-0.00029437756309422844,-0.1611119733979078,-0.26630460838141623,-1.4881450820811524,-1.412454771781796,-0.13027986624055893,-0.5167346053440691,-0.03446620923543547,1.855614630417252,-0.0020159874954851715,0.17141442263006487,-0.014325586286163334,-0.01684327860447603,0.0
42,-2.880407506192233,0.23402803611932987,2.4920465274491517,-0.0024691670103472413,-0.0002971624626553757,-0.16089912339410395,-0.2658990006730406,-1.4879257556640813,-1.409693135246628,-0.13033715397065018,-0.5176654608804901,-0.034430484449551275,1.8524588737644592,-0.002002378376733488,0.17039317662685513,-0.014430814000673423,-0.016836855510441173,0.0
43,-2.879467396254764,0.23637840958581752,2.5080896892559585,-0.002521511930389577,-0.00029993945689099275,-0.16068647805899505,-0.26549414253024045,-1.4877064495055006,-1.4069375119481322,-0.13039431043426894,-0.5185886943518343,-0.03439477562907151,1.8493103290918143,-0.0019887830964433117,0.16937703861493103,-0.014535598150598496,-0.016830435673641408,0.0
44,-2.8785290174273657,0.23871890221612058,2.524113452459501,-0.002573822405049955,-0.0003027085641069357,-0.16047403720701622,-0.26509003272450393,-1.4874871636037554,-1.404187894941191,-0.1304513358093958,-0.5195043439403068,-0.03435908276760476,1.8461689778530261,-0.001975201642502336,0.16836598394355026,-0.014639940218998917,-0.01682401909222785,0.0
45,-2.877592366740548,0.24104954749103089,2.5401178364214982,-0.002626098453383799,-0.0003054698025691648,-0.16026180065276777,-0.2646866700278595,-1.4872678979571547,-1.401444277227136,-0.13050823027379904,-0.5204124476570479,-0.034323405858758815,1.8430348015525382,-0.001961634002808208,0.1673599880793686,-0.014743841684298292,-0.016817605764352647,0.0
46,-2.876657441229798,0.24337037878487744,2.5561028604855496,-0.002678340094440305,-0.00030822319050384647,-0.16004976821101272,-0.2642840532128842,-1.4870486525639017,-1.3987066517544124,-0.13056499400503327,-0.5213130433428673,-0.03428774489614605,1.8399077817453768,-0.0019480801652686894,0.16635902660588456,-0.014847304020297488,-0.016811195688169227,0.0
